Nombre,Url,País,Biografía
Miréia Anieva,https://es.wikipedia.org/wiki/Mir%C3%A9ia_Anieva,México,"Miréia Anieva (Mireya González) (Xalapa, Veracruz, 1988) es una poeta y ensayista mexicana. Estudió Antropología social en la Universidad Veracruzana. Ha publicado en antologías y revistas como Punto de Partida, eSpiral y Periódico de Poesía. También se ha desempeñado como reportera y editora en diversos medios nacionales como Más por más  y en la Revista Vice México. "
Arminé Arjona,https://es.wikipedia.org/wiki/Armin%C3%A9_Arjona,México,"Gloria Arminé Arjona Baca, conocida como Arminé Arjona, (Ciudad Juárez, Chihuahua, México, 21 de marzo de 1958), es una escritora mexicana."
Natalia Armienta Oikawa,https://es.wikipedia.org/wiki/Natalia_Armienta_Oikawa#Libros_y_cuentos,México,"Natalia Armienta Oikawa  (30 de noviembre de 1972) es una escritora, guionista, directora y editora mexicana."
Verónica G. Arredondo,https://es.wikipedia.org/wiki/Ver%C3%B3nica_G._Arredondo,México,"Verónica González Arredondo, nombre artístico de Verónica G. Arredondo (Guanajuato, 1984) es una escritora, investigadora y gestora cultural mexicana."
Isabel Arvide,https://es.wikipedia.org/wiki/Isabel_Arvide#Obras,México,"María Isabel Arvide Limón (Ciudad de México, 12 de noviembre de 1951) es una periodista, escritora  y analista política y militar mexicana que se ha destacado por su trabajo político y social. Ha colaborado para los principales diarios de circulación nacional y estatal. Es asesora de gobiernos estatales en materia de seguridad. "
Crista Aun,https://es.wikipedia.org/wiki/Crista_Aun,México,"Crista Raquel Aun Muela (Culiacán, Sinaloa. 20 de julio de 1971) es una escritora y poeta mexicana. En 2019, ganó el Premio Nacional de Novela Breve. Su obra se enfoca en el cuento y la minificción."
Carmen Ávila,https://es.wikipedia.org/wiki/Carmen_%C3%81vila,México,"Carmen Ávila (Saltillo, Coahuila; 3 de marzo de 1981) es una poeta y narradora mexicana."
Marisa Avilés,https://es.wikipedia.org/wiki/Marisa_Avil%C3%A9s#Obras,México,"Marisa Avilés Arreola (Ciudad Victoria, Tamaulipas; 9 de mayo de 1963). Es poeta escritora, académica, promotora cultural y feminista mexicana ganadora de diversos premios, ha publicado editoriales, artículos y poemas, así como tres poemarios y sus obras son incluidas en seis antología como la de poetas, tamaulipecas del siglo XX  y en cuatro de cuento."
Rowena Bali,https://es.wikipedia.org/wiki/Rowena_Bali,México,"Rowena Bali (Cuautla, Morelos, 20 de abril de 1977) es una escritora, editora, guionista y locutora mexicana. Entre los géneros que practica están la narrativa y la poesía. Ha sido incluida dentro de la corriente literaria Generación inexistente."
Yaroslabi Bañuelos,https://es.wikipedia.org/wiki/Yaroslabi_Ba%C3%B1uelos,México,"Yaroslabi Bañuelos Ceseña (La Paz, Baja California Sur, 1991) es una poeta y tallerista mexicana. Se dio a conocer con su poemario Otro agosto habita el aire, con el cual obtuvo el Premio Estatal de Poesía Ciudad de La Paz 2019."
Rosaura Barahona,https://es.wikipedia.org/wiki/Rosaura_Barahona,México,"Rosaura del Pilar Teresita Barahona Aguayo, más conocida solamente como Rosaura Barahona (Ciudad de México, 12 de octubre de 1942-Monterrey, 21 de octubre de 2017), fue una periodista, escritora feminista y académica mexicana."
Karla Gabriela Barajas Ramos,https://es.wikipedia.org/wiki/Karla_Gabriela_Barajas_Ramos,México,"Karla Gabriela Barajas Ramos (Tuxtla Gutiérrez, 1982) es una periodista y escritora mexicana. Comenzó a publicar sus obras desde el 2004 como cuentos, minificciones e ilustraciones en periódicos locales de Chiapas como Noticias Voz e Imagen, Entre Cuates ¡Jugar es Aprender!, y en las antologías como Cuéntame un blues."
María Baranda,https://es.wikipedia.org/wiki/Mar%C3%ADa_Baranda,México,"María Baranda (Ciudad de México, 13 de abril de 1962) es una poetisa, narradora y traductora. Ganó el Premio Nacional de Poesía Efraín Huerta 1995 por su obra Los memoriosos. Fue embajadora de Embajadora de la Literatura Infantil y Juvenil de la FILIJ 2017."
Jazmina Barrera,https://es.wikipedia.org/wiki/Jazmina_Barrera,México,"Jazmina Barrera (Ciudad de México, 1988) es una escritora mexicana. Es autora de Cuerpo extraño (Literal Publishing, 2013), Cuaderno de faros (Tierra Adentro, 2017), Línea negra (Almadía, 2021) y Punto de cruz (Almadía, 2021). Sus libros han sido publicados en ocho países y traducidos al inglés, italiano, holandés y catalán. Es cofundadora de Ediciones Antílope."
Reyna Barrera,https://es.wikipedia.org/wiki/Reyna_Barrera,México,"Reyna Barrera López (Ciudad de México, 13 de octubre de 1939) es escritora, poeta y crítica de teatro. Nació el 13 de octubre de 1939. Estudió en la Facultad de Filosofía y Letras de la Universidad Nacional Autónoma de México. Fundadora y profesora del Colegio de Ciencias y Humanidades."
Susana Bautista Cruz,https://es.wikipedia.org/wiki/Susana_Bautista_Cruz,México,"Susana Bautista Cruz (Ciudad de México, 1971) es una escritora mexicana. Además es docente, investigadora y promotora de poesía en lenguas indígenas. Entre sus obras más destacadas está su poemario Rõma (2014)."
Ruperta Bautista,https://es.wikipedia.org/wiki/Ruperta_Bautista,México,"Ruperta Bautista Vázquez (San Cristóbal de las Casas, Chiapas; 27 de marzo de 1975) es una escritora y traductora tsotsil, ganadora en 2001 del Premio de Poesía Indígena Pat O’tan y en 2012 de la Medalla Benito Juárez"
Rosa Beltrán,https://es.wikipedia.org/wiki/Rosa_Beltr%C3%A1n,México,"Rosa Beltrán (Ciudad de México, 15 de marzo de 1960) es escritora y catedrática. Fue elegida como miembro de número de la Academia Mexicana de la Lengua el 12 de junio de 2014 y dio lectura a su discurso de ingreso a dicha corporación el 28 de enero de 2016 con un discurso sobre la vigencia de la novela Cartucho, un clásico de la literatura mexicana relacionada con la situación actual del país. "
Sabina Berman,https://es.wikipedia.org/wiki/Sabina_Berman,México,"Sabina Berman Goldberg (Ciudad de México, 21 de agosto de 1955) es una escritora mexicana. "
Liliana Blum,https://es.wikipedia.org/wiki/Liliana_Blum,México,"Liliana Blum (Durango; 1974) es narradora, docente e investigadora literaria. Es una de las primeras escritoras mexicanas de su generación cuya obra ha sido traducida al inglés."
Carmen Boullosa,https://es.wikipedia.org/wiki/Carmen_Boullosa,México,"Carmen Boullosa (Ciudad de México, 4 de septiembre de 1954) es una poeta y novelista mexicana. "
Fabienne Bradu,https://es.wikipedia.org/wiki/Fabienne_Bradu,México,"Fabienne Bradu (París, 23 de septiembre de 1954) es una ensayista, traductora y narradora francesa radicada en México desde 1978."
Zelá Brambillé,https://es.wikipedia.org/wiki/Zel%C3%A1_Brambill%C3%A9,México,"Andrea Alejandra Álvarez González (Monterrey, 8 de junio de 1994 - Saltillo, 4 de agosto de 2021), más conocida como Zelá Brambillé, fue una escritora y novelista mexicana, que se dio a conocer a través de la red Wattpad. Una de sus obras, Miradas azucaradas, superó los 20 millones de lecturas en Wattpad."
Mónica Braun,https://es.wikipedia.org/wiki/M%C3%B3nica_Braun,México,"Mónica Braun (Ciudad de México, 7 de mayo de 1965) es una narradora, poeta y editora mexicana. "
M. B. Brozon,https://es.wikipedia.org/wiki/M._B._Brozon,México,"M. B. Brozon es el nombre artístico de Mónica Beltrán Brozon (Ciudad de México, 1970), escritora mexicana de literatura infantil y juvenil."
Maritza M. Buendía,https://es.wikipedia.org/wiki/Maritza_M._Buend%C3%ADa,México,La memoria del agua (2002) En el jardín de los cautivos (2005)
Denisse Buendía,https://es.wikipedia.org/wiki/Denisse_Buend%C3%ADa,México,"Denisse Buendía (Cuernavaca, Morelos, 6 de agosto de 1979) es una escritora y pintora mexicana, ganadora del Premio de Poesía Dolores Castro en 2016. Su obra poética ha sido incluida en antologías y  revistas literarias como Argonautas, Carruaje de pájaros, Círculo de poesía, La Guardaraya y en la sección de poesía del periódico Día a día.   Su obra ha sido traducida al portugués, inglés y francés."
Lydia Cacho,https://es.wikipedia.org/wiki/Lydia_Cacho,México,"Lydia María Cacho Ribeiro (Ciudad de México, 12 de abril de 1963), más conocida como Lydia Cacho, es una periodista, escritora, conferencista y activista de los derechos humanos mexicana, naturalizada española. Ha recibido reconocimientos internacionales por investigar crímenes y desarrollar herramientas sociales y por su  labor en enseñar nuevas técnicas de cómo enfrentar la esclavitud y la trata de personas en todo el mundo."
Adela Calva Reyes,https://es.wikipedia.org/wiki/Adela_Calva_Reyes,México,"Adela Calva Reyes (San Ildefonso, Tepeji del Río de Ocampo, Hidalgo; 16 de diciembre de 1967-Ib.;2 de marzo de 2018) fue una escritora y ensayista mexicana en las lenguas otomí y española."
Bibiana Camacho,https://es.wikipedia.org/wiki/Bibiana_Camacho,México,"Bibiana Camacho (Ciudad de México, 1974) es una escritora mexicana, reconocida principalmente por sus novelas Tu ropa en mi armario, Tras las huellas de mi olvido y La sonámbula."
Julieta Campos,https://es.wikipedia.org/wiki/Julieta_Campos,México,"Julieta Campos de la Torre (La Habana, Cuba, 8 de mayo de 1932 – Ciudad de México, México, 5 de septiembre de 2007) fue una escritora y traductora cubano-mexicana."
Lorea Canales,https://es.wikipedia.org/wiki/Lorea_Canales#Obras,México,"Lorea Canales (Ciudad de México, México) es una abogada, periodista, escritora y traductora mexicana, autora de la novela Apenas Marta, considerada por el periódico Reforma como uno de los mejores libros de 2011."
Kenia Cano,https://es.wikipedia.org/wiki/Kenia_Cano,México,"Kenia Cano (Cuernavaca, 21 de junio de 1972) es una escritora y pintora mexicana. En 2010 fue ganadora del Premio Iberoamericano de Poesía Carlos Pellicer."
Norma Elia Cantú,https://es.wikipedia.org/wiki/Norma_Elia_Cant%C3%BA#Algunas_publicaciones,México,"Norma Elia Cantú Ramón (3 de enero de 1947) es una escritora chicana postmodernista mexicana, y profesora emérita de cultura inglesa en la Universidad de Texas en San Antonio (acrónimo en inglés UTSA)."
Raquel Castro,https://es.wikipedia.org/wiki/Raquel_Castro_(escritora),México,"Raquel Castro Maldonado (México, 1976) es una guionista, escritora, traductora y periodista mexicana que ha publicado varias novelas de Literatura Infantil y Juvenil, además de cuentos en diversas antologías. Su novela ""Ojos llenos de sombra"" ganó el premio Gran Angular 2012."
Dolores Castro Varela,https://es.wikipedia.org/wiki/Dolores_Castro_Varela,México,"Dolores Castro Varela (Aguascalientes, Aguascalientes, 12 de abril de 1923). Poeta galardonada, narradora, ensayista y crítica literaria mexicana."
Libia Brenda Castro,https://es.wikipedia.org/wiki/Libia_Brenda_Castro,México,"Libia Brenda Castro (Puebla, Puebla, 1974) es una cuentista, articulista y editora mexicana. Obtuvo la beca del Fondo Nacional para la Cultura y las Artes (FONCA) 1999-2000."
Marisol Ceh Moo,https://es.wikipedia.org/wiki/Marisol_Ceh_Moo,México,"Marisol Ceh Moo es una escritora y profesora mexicana nacida en Calotmul, estado de Yucatán, México. Es una escritora de la lengua maya y castellana, su obra literaria es parte de la literatura del siglo XXI de México. Es profesora y fiel defensora de las lenguas minoritarias de México (enfocándose en particular en el maya yucateco)."
Suzette Celaya Aguilar,https://es.wikipedia.org/wiki/Suzette_Celaya_Aguilar,México,"Suzette Daniela Celaya Aguilar (Hermosillo, Sonora, 24 de octubre de 1982). Es una comunicadora y escritora mexicana que se desempeña en distintos medios de comunicación en México. Reconocida por sus publicaciones merecedoras de premios nacionales como El agua más y más roja, ganadora del IV Concurso de Cuento Corto de Escritoras Mexicanas en 2021, volumen presentado en la Feria Internacional del Libro de Guadalajara 2021."
Dahlia De La Cerda,https://es.wikipedia.org/wiki/Dahlia_De_La_Cerda,México,"Dahlia De La Cerda (Aguascalientes, 1985) es una filósofa, escritora y activista mexicana conocida principalmente por su libro Perras de Reserva (2019) y su trabajo en la organización feminista Morras Help Morras."
Karen Chacek,https://es.wikipedia.org/wiki/Karen_Chacek,México,"Karen Chacek (México, 1972) es una escritora mexicana. Ha publicado más de una decena de libros para niños en México y Estados Unidos, cuentos para jóvenes y adultos en diferentes antologías nacionales y extranjeras y dos novelas para adultos. Con frecuencia se refiere a la literatura como un medio de resistencia contra los sistemas sociopolíticos, y en su obra concilia temas sociales que le inquietan con su afición por la imaginación fantástica."
Martha Chapa,https://es.wikipedia.org/wiki/Martha_Chapa,México,"Martha Chapa Benavides (n. 1946) pintora, escultora y escritora mexicana originaria de Monterrey, Nuevo León, cuya obra se caracteriza por tener como tema central la manzana. Cuenta con más de 250 exposiciones individuales y más de 1800 colectivas a nivel nacional e internacional. En la década de 1980 se interesó en la investigación gastronómica y desde entonces a la fecha ha publicado más de 30 libros."
Andrea Chapela,https://es.wikipedia.org/wiki/Andrea_Chapela,México,"Andrea Chapela (1990, Ciudad de México) es una escritora mexicana, ganadora del Premio Nacional de Literatura de Cuentos Gilberto Owen, el Premio Nacional de Literatura Juan José Arreola y el Premio Nacional de Ensayo Joven Jose Luis Martínez. Chapela colabora regularmente en revistas literarias como Revista Principia, Este País, Revista Literal, Vaso Cósmico y Tierra Adentro."
Andrea Ciria,https://es.wikipedia.org/wiki/Andrea_Ciria,México,"Andrea Ciria (Ciudad de México, 2 de junio de 1979) es una escritora y traductora mexicana. Obtuvo el primer lugar en el XXII Concurso Nacional de Cuento Mujeres en vida: Homenaje a María Luisa Bombal, 2019 con su obra La otra ley. Su trabajo narrativo destaca principalmente en la literatura fantástica en la cual también sobresale como docente "
Jeannette L. Clariond,https://es.wikipedia.org/wiki/Jeannette_L._Clariond,México,"Jeannette L. Clariond (Chihuahua, 8 de agosto de 1949) es una poeta y traductora mexicana. Es fundadora de la editorial Vaso Roto Ediciones y es reconocida por ser la principal traductora al español de la poeta canadiense Anne Carson. Ha sido reconocida con el Premio Nacional de Poesía Efraín Huerta. "
Ana Clavel,https://es.wikipedia.org/wiki/Ana_Clavel,México,"Ana Clavel (Ciudad de México, 16 de diciembre de 1961) es una escritora e investigadora mexicana."
Esther Cohen,https://es.wikipedia.org/wiki/Esther_Cohen,México,"Esther Cohen Dabbah (Ciudad de México, 3 de octubre de 1949) es una escritora e investigadora mexicana. Estudió la licenciatura en Letras Modernas en la UNAM y es especialista en Semiótica por la Universidad de Boloña, donde fue asesorada por el académico y novelista Umberto Eco."
Teresa del Conde,https://es.wikipedia.org/wiki/Teresa_del_Conde#Publicaciones,México,"Teresa del Conde Pontones (Ciudad de México, 12 de enero de 1938-ibídem, 16 de febrero de 2017) fue una académica e historiadora/crítica de arte mexicana."
Rosina Conde,https://es.wikipedia.org/wiki/Rosina_Conde,México,"Rosina Conde, nombre artístico de Hilda Rosina Conde Zambada (Mexicali, 10 de febrero de 1954), es una narradora, dramaturga y poeta mexicana. "
Nadia Contreras,https://es.wikipedia.org/wiki/Nadia_Contreras,México,"Nadia Contreras (Colima, 16 de septiembre de 1976) es una escritora y académica mexicana. En 2014 el Congreso del estado de Colima le otorgó la presea Griselda Álvarez Ponce de León por su trayectoria. Es premio de Poesía Timón de Oro, y fue ganadora del Primer Concurso de Narrativa Salvador Márquez Gileta de la Universidad de Colima."
Pascuala Corona,https://es.wikipedia.org/wiki/Pascuala_Corona,México,"Pascuala Corona (Ciudad de México,  21 de marzo de 1917 -  20 de enero de 2015) fue el pseudónimo de la narradora, escritora, investigadora, promotora cultural, ilustradora y recopiladora de relatos mexicanos populares Teresa Castelló Yturbide'."
Aurora Correa,https://es.wikipedia.org/wiki/Aurora_Correa,México,"Aurora Correa (10 de febrero de 1930-20 de noviembre de 2008) fue una profesora y escritora española, naturalizada mexicana, que formó parte del grupo de exiliados conocido como los Niños de Morelia, el cual llegó a México durante la Guerra Civil Española. En su libro Cerezas (2008) narra sus experiencias durante el viaje y exilio."
Elba Cortez Villapudua,https://es.wikipedia.org/wiki/Elba_Cortez_Villapudua,México,"Elba Cortez Villapudua (Mexicali, Baja California, 1967) es una dramaturga, actriz y maestra mexicana. Se ha especializado en la creación de obras de teatro infantil."
Nora Coss,https://es.wikipedia.org/wiki/Nora_Coss,México,"Nora Coss (Sabinas, Coahuila, 6 de junio de 1982) es una dramaturga, directora escénica, guionista y narradora mexicana. Ganadora 2018 del Premio Bellas Artes Juan Rulfo que otorga la Secretaría de Cultura de México para Primera Novela.  "
Elsa Cross,https://es.wikipedia.org/wiki/Elsa_Cross,México,"Elsa Cross (Ciudad de México, 6 de marzo de 1946) es una poeta, traductora literaria y ensayista mexicana. Es maestra y doctora en filosofía por la Universidad Nacional Autónoma de México (UNAM), en cuya Facultad de Filosofía y Letras es profesora titular de filosofía de la religión. "
Petrona de la Cruz,https://es.wikipedia.org/wiki/Petrona_de_la_Cruz,México,"Petrona de la Cruz (Zinacantán, Chiapas, 23 de septiembre de 1965) es una escritora mexicana que escribe en tzotzil y castellano."
Mireya Cueto,https://es.wikipedia.org/wiki/Mireya_Cueto,México,"Mireya Cueto (Ciudad de México, 23 de febrero de 1922-ibíd. 26 de abril de 2013) fue una titiritera, escritora y dramaturga mexicana. Fue cofundadora del Museo Nacional del Títere (MUNATI) en Huamantla, Tlaxcala; y también creó la “Compañía Espiral”."
Antonia Cuevas Naranjo,https://es.wikipedia.org/wiki/Antonia_Cuevas_Naranjo,México,"Antonia Cuevas Naranjo (Pachuca de Soto, 1975) es una escritora mexicana, autora de poemas y narradora, es ganadora del Premio de Poesía Efrén Rebolledo. "
Briceida Cuevas,https://es.wikipedia.org/wiki/Briceida_Cuevas,México,"Briceida Cuevas Cob (Tepakán, Calkiní, Campeche, 12 de julio de 1969) es una poeta maya bilingüe, fundadora de la Asociación de Escritores en Lenguas Indígenas de México."
Margarita Dalton,https://es.wikipedia.org/wiki/Margarita_Dalton#Publicaciones,México,"Margarita Dalton Palomo (Ciudad de México, 1943) es una novelista, historiadora, investigadora, profesora, activista por los derechos de la mujer y editora mexicana. Especialmente conocida por sus trabajos sobre política y género."
Gabriela Damián Miravete,https://es.wikipedia.org/wiki/Gabriela_Dami%C3%A1n_Miravete,México,"Gabriela Damián Miravete (Ciudad de México, 1979) es una escritora, editora y guionista mexicana con afinidad por la literatura de ficción especulativa."
Amparo Dávila,https://es.wikipedia.org/wiki/Amparo_D%C3%A1vila,México,"Amparo Dávila (Pinos, Zacatecas, 21 de febrero de 1928 - Ciudad de México, 18 de abril de 2020) fue una escritora mexicana. Obtuvo el Premio Xavier Villaurrutia en 1977. A finales de 2015 se le otorgó la Medalla Bellas Artes en reconocimiento a su trayectoria, y desde ese año el gobierno de México convoca un certamen nacional de cuento fantástico con su nombre: el Premio Bellas Artes de Cuento Amparo Dávila."
Marcela del Río,https://es.wikipedia.org/wiki/Marcela_del_R%C3%ADo,México,"Marcela del Río Reyes (Ciudad de México, 30 de mayo de 1932) es una poeta, dramaturga y narradora mexicana."
Adriana Díaz Enciso,https://es.wikipedia.org/wiki/Adriana_D%C3%ADaz_Enciso,México,"Adriana Díaz Enciso (Guadalajara, Jalisco, 26 de febrero de 1964) es una poeta, ensayista, traductora y narradora mexicana."
Claudina Domingo,https://es.wikipedia.org/wiki/Claudina_Domingo,México,Premio de Poesía Editorial Praxis
Isolda Dosamantes,https://es.wikipedia.org/wiki/Isolda_Dosamantes,México,"Isolda Dosamantes Carrasco (Zumpango, Atlangatepec, 20 de julio de 1969) es una escritora, docente y promotora cultural mexicana."
Elisa Ramírez Castañeda,https://es.wikipedia.org/wiki/Elisa_Ram%C3%ADrez_Casta%C3%B1eda,México,"Elisa Ramírez Castañeda (Ciudad de México, 17 de abril de 1947) es una poeta, narradora, traductora y socióloga mexicana. En 1984 fue ganadora del Premio Alfonso X de Traducción Literaria."
Roxana Elvridge-Thomas,https://es.wikipedia.org/wiki/Roxana_Elvridge-Thomas,México,"Roxana Elvridge-Thomas , (Ciudad de México, 5 de marzo de 1964) es una poeta, ensayista y directora teatral mexicana, donde ella ha publicado nueve libros de poesía y dos de ensayo que han sido traducidos al inglés , francés portugués y árabe. "
Jimena Eme Vázquez,https://es.wikipedia.org/wiki/Jimena_Eme_V%C3%A1zquez,México,Premio Dramaturgia Joven Vicente Leñero
María Amparo Escandón,https://es.wikipedia.org/wiki/Mar%C3%ADa_Amparo_Escand%C3%B3n,México,"María Amparo Escandón (Ciudad de México, México, 19 de junio de 1957), es una escritora bilingüe, autora de novelas de superventas, narrativa breve, guionista y productora cinematográfica, nacida en México y residente en los Estados Unidos."
Beatriz Espejo,https://es.wikipedia.org/wiki/Beatriz_Espejo,México,"Beatriz Espejo (Veracruz, México, 19 de septiembre de 1939) es una escritora y profesora mexicana con trayectoria en la creación literaria y la enseñanza universitaria. Estudió el doctorado en Letras en la Facultad de Filosofía y letras de la UNAM. Es investigadora en la Universidad Nacional Autónoma de México."
Cecilia Eudave,https://es.wikipedia.org/wiki/Cecilia_Eudave,México,"Cecilia Eudave (Guadalajara, 1968) es una escritora, investigadora y profesora."
Carla Faesler,https://es.wikipedia.org/wiki/Carla_Faesler,México,"Carla Faesler (Ciudad de México, 10 de abril de 1967) es una editora, poeta, escritora mexicana y poeta visual mexicana."
Guadalupe Flores Liera,https://es.wikipedia.org/wiki/Guadalupe_Flores_Liera,México,"Guadalupe Flores Liera (Ciudad de México, 1961) es una poeta, cuentista y traductora del griego. Miembro del grupo literario El Comité. "
Liliana Flores,https://es.wikipedia.org/wiki/Liliana_Flores,México,"Liliana Flores Gallardo (Ciudad de México, 13 de marzo de 1976) es una actriz, presentadora de televisión, escritora, directora y productora de nacionalidad mexicana."
Ana García Bergua,https://es.wikipedia.org/wiki/Ana_Garc%C3%ADa_Bergua,México,"Ana García Bergua (Ciudad de México, 1960) es una escritora mexicana. Estudió letras francesas en la Facultad de Filosofía y Letras de la Universidad Nacional Autónoma de México y escenografía teatral en el Centro Universitario de Teatro."
Julieta García González,https://es.wikipedia.org/wiki/Julieta_Garc%C3%ADa_Gonz%C3%A1lez,México,"Julieta García González (Ciudad de México, 11 de febrero de 1970) es una escritora, editora y articulista mexicana. Considerada entre la Generación inexistente, escribe principalmente novela, cuentos y ensayos."
Adriana García Roel,https://es.wikipedia.org/wiki/Adriana_Garc%C3%ADa_Roel,México,"Adriana García Roel (Monterrey, Nuevo León, 4 de junio de 1916 - 26 de octubre de 2003) fue una reconocida escritora y profesora neoleonesa autora de la novela «El hombre de barro», realizada cuando tenía solo 26 años, y que fue un libro de texto premiado y utilizado por alumnos de literatura, así como otras dos novelas espaciadas por casi 50 años de silencio."
Elpidia García,https://es.wikipedia.org/wiki/Elpidia_Garc%C3%ADa,México,"Elpidia García Delgado (Jiménez, Chihuahua, México, 26 de septiembre de 1959), es una escritora mexicana que ha radicado la mayor parte de su vida en Ciudad Juárez  y ahí ha desarrollado su trabajo. Participante del colectivo juarense de literatura Zurdo Mendieta, ha publicado cuentos en más de seis antologías y varias revistas. En el 2018 ganó el importante Premio Bellas Artes de Cuento Amparo Dávila con El hombre que mató a Dedos Fríos y otros relatos. "
Esther M. García,https://es.wikipedia.org/wiki/Esther_M._Garc%C3%ADa,México,"Esther M. García (Ciudad Juárez, 1987) es una poeta y escritora mexicana. Estudió la Licenciatura en Letras Españolas en la Universidad Autónoma de Coahuila. Actualmente radica en Saltillo, Coahuila.Su carrera literaria comenzó a los 17 años y ha ganado diversos premios y reconocimientos a nivel nacional, e internacional. Es creadora del proyecto titulado Mapa de Escritoras Mexicanas Contemporáneas. "
Verónica Gerber Bicecci,https://es.wikipedia.org/wiki/Ver%C3%B3nica_Gerber_Bicecci#Ensayo,México,"Verónica Gerber Bicecci (Ciudad de México, 14 de noviembre de 1981) es una artista y escritora mexicana, que se define a sí misma como una «artista visual que escribe»."
